"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"get-set.js","/home/marczinusd/dev/moment/src/lib/moment/get-set.js","9","15","73","-1","cf428826-4b57-4367-9043-45454b9ef256",""
"hour.js","/home/marczinusd/dev/moment/src/lib/units/hour.js","6","13","159","-1","afa092d9-4cd1-494b-938b-c6fa42d8cd7a",""
"timezone.js","/home/marczinusd/dev/moment/src/lib/units/timezone.js","1","4","16","-1","aaf8f804-b3bb-4e69-8e9d-38a18df9797c",""
"constants.js","/home/marczinusd/dev/moment/src/lib/units/constants.js","1","5","9","-1","c74580f1-ef72-4764-b576-25458074c7a8",""
"week.js","/home/marczinusd/dev/moment/src/lib/units/week.js","4","8","71","-1","8bf6ca48-182f-41c6-a17a-e3340e44c767",""
"week-year.js","/home/marczinusd/dev/moment/src/lib/units/week-year.js","6","17","140","-1","39efd94a-3aac-4ef7-b286-19d091bbc720",""
"minute.js","/home/marczinusd/dev/moment/src/lib/units/minute.js","2","5","29","-1","67b77c84-d653-4fc6-9d57-e658dbc12017",""
"quarter.js","/home/marczinusd/dev/moment/src/lib/units/quarter.js","3","6","34","78.44827586206897","d48ba379-f467-4ded-af7f-8d5a42088e70",""
"day-of-month.js","/home/marczinusd/dev/moment/src/lib/units/day-of-month.js","5","9","39","-1","c65fe5ff-ad6b-4b47-bcbf-4ce5bfa6ef79",""
"year.js","/home/marczinusd/dev/moment/src/lib/units/year.js","6","12","85","48.97959183673469","6dfc9c68-6439-4e06-84fa-030f50e93de9",""
"day-of-week.js","/home/marczinusd/dev/moment/src/lib/units/day-of-week.js","10","24","444","-1","92515d8d-cdeb-450f-815a-8892915effc8",""
"day-of-year.js","/home/marczinusd/dev/moment/src/lib/units/day-of-year.js","4","9","37","-1","201cb077-6941-4c1f-99d2-1ad9329c2477",""
"timestamp.js","/home/marczinusd/dev/moment/src/lib/units/timestamp.js","2","4","20","-1","c17d9ddc-158a-4ac5-8b24-e3cab6fecaca",""
"start-end-of.js","/home/marczinusd/dev/moment/src/lib/moment/start-end-of.js","4","9","164","-1","e7ef73dd-18d3-408c-aa8c-2d422ff3ac93",""
"prototype.js","/home/marczinusd/dev/moment/src/lib/moment/prototype.js","11","24","197","50","c7c81964-2ab7-435a-b3d5-00810186ce01",""
"locale.js","/home/marczinusd/dev/moment/src/lib/moment/locale.js","1","4","34","96.11940298507463","59cd4395-77be-416c-901f-86a8ba072208",""
"to.js","/home/marczinusd/dev/moment/src/lib/moment/to.js","1","5","20","69.1358024691358","5f255bd9-896c-4124-8724-c5885e490e42",""
"constructor.js","/home/marczinusd/dev/moment/src/lib/moment/constructor.js","7","15","80","-1","40935afc-7bf0-408b-b609-b4ad537f5c4a",""
"compare.js","/home/marczinusd/dev/moment/src/lib/moment/compare.js","6","11","72","-1","cf186939-b457-4c4c-b39e-66d78ae35e3d",""
"creation-data.js","/home/marczinusd/dev/moment/src/lib/moment/creation-data.js","2","4","9","60.9375","9ae12185-5301-46f3-b6d4-9eaec35b01e6",""
"format.js","/home/marczinusd/dev/moment/src/lib/moment/format.js","6","12","78","89.56521739130434","f56a6bdd-b8f7-429d-b6e5-7dfbb2da40fe",""
"add-subtract.js","/home/marczinusd/dev/moment/src/lib/moment/add-subtract.js","5","12","61","-1","7262c5ae-0bee-43f9-be8e-1a9b7c97b915",""
"to-type.js","/home/marczinusd/dev/moment/src/lib/moment/to-type.js","4","10","42","-1","bc721928-47fa-443a-b531-1d7f0ca11636",""
"from.js","/home/marczinusd/dev/moment/src/lib/moment/from.js","1","6","20","-1","aaf6f9f0-ff80-4e8e-96d6-856411bfe3a5",""
"now.js","/home/marczinusd/dev/moment/src/lib/moment/now.js","3","4","3","71.91011235955057","24dd3f42-f81e-445d-b62d-f67a2537f7ca",""
"min-max.js","/home/marczinusd/dev/moment/src/lib/moment/min-max.js","5","10","62","-1","e9ce3600-2e48-4b9f-95de-2900aae35cad",""
"calendar.js","/home/marczinusd/dev/moment/src/lib/moment/calendar.js","8","15","53","77.27272727272727","549f54df-e745-4948-9946-aa0e2f57a05f",""
"moment.js","/home/marczinusd/dev/moment/src/lib/moment/moment.js","2","5","28","96.01510067114094","1cd59983-07ff-4324-985e-34156653922b",""
"clone.js","/home/marczinusd/dev/moment/src/lib/moment/clone.js","1","4","5","-1","eb63ef96-1c61-4719-bb63-7b50cc6fddc4",""
"abs-floor.js","/home/marczinusd/dev/moment/src/lib/utils/abs-floor.js","1","4","8","-1","932c3f1b-adde-419b-9fe8-51f9ba2ecad2",""
"lt.js","/home/marczinusd/dev/moment/src/locale/lt.js","5","15","123","90","270122b7-29c7-4ae1-ac58-5279c3004510",""
"tr.js","/home/marczinusd/dev/moment/src/locale/tr.js","10","15","106","94.11764705882354","62526bc4-bbf8-4c04-a9bc-4f2cb4fb5a70",""
"et.js","/home/marczinusd/dev/moment/src/locale/et.js","4","9","78","100","f9c4265a-36a7-4751-9d4c-0b33435bec23",""
"pt.js","/home/marczinusd/dev/moment/src/locale/pt.js","10","15","62","100","5c6118f4-9e3f-4ad6-b35b-ff55fd9b2587",""
"ml.js","/home/marczinusd/dev/moment/src/locale/ml.js","3","9","80","100","c88defba-9ffd-4177-9059-a4d0acbe77c3",""
"kk.js","/home/marczinusd/dev/moment/src/locale/kk.js","6","8","82","100","f0e18f02-e063-4a25-a814-d18a1885c34e",""
"fi.js","/home/marczinusd/dev/moment/src/locale/fi.js","6","11","121","100","777bd31c-3a1f-4a61-b923-3bd35cd47595",""
"az.js","/home/marczinusd/dev/moment/src/locale/az.js","7","13","101","100","b1ec5361-adc7-4ab9-921d-2c606ee38bff",""
"ca.js","/home/marczinusd/dev/moment/src/locale/ca.js","7","14","97","100","2f804005-8827-4e5b-bbef-9df13fe9c159",""
"gd.js","/home/marczinusd/dev/moment/src/locale/gd.js","4","10","95","100","1ccf38c3-b9a3-4f7e-948c-6426c72fa732",""
"bg.js","/home/marczinusd/dev/moment/src/locale/bg.js","10","14","87","95.45454545454545","7f39f7bf-1c2d-419c-8d0b-385ae458af67",""
"mk.js","/home/marczinusd/dev/moment/src/locale/mk.js","8","12","85","95.45454545454545","b2619ea5-a509-4363-812f-0e5f8f23b237",""
"is.js","/home/marczinusd/dev/moment/src/locale/is.js","6","11","139","77.08333333333333","c70c9b1d-4ff3-4071-9c6c-0bbd71a033a2",""
"it-ch.js","/home/marczinusd/dev/moment/src/locale/it-ch.js","2","3","64","87.5","64779034-324c-4d12-85f5-7bf1bf2875a5",""
